Device Serial:	0001
Estimated Duration[s]:	343.0252075195317
Start Time:	2022-10-10 13:23:05
Estimated End:	2022-10-10 13:28:48
Lower Bound[V]:	2.6
Upper Bound[V]:	2.7
Start Voltage[V]:	2.6569747924804688
Stop Voltage[V]:	2.6
Scan Rate[V/s]:	0.001
Cycles:	1
Samples to Average:	1

Elapsed_Time(s)	Potential(V)	Current(A)	Cycle
1.671252e-01	2.656937e+00	-8.094788e-06	0
2.657105e-01	2.656982e+00	-3.723264e-06	0
3.576602e-01	2.657055e+00	8.356571e-08	0
4.459267e-01	2.657227e+00	7.225037e-06	0
5.355849e-01	2.657249e+00	1.022685e-05	0
6.254174e-01	2.657352e+00	1.543188e-05	0
7.181272e-01	2.657375e+00	1.701093e-05	0
8.067471e-01	2.657475e+00	1.957119e-05	0
8.950497e-01	2.657536e+00	2.652442e-05	0
9.863954e-01	2.657658e+00	2.818573e-05	0
1.077970e+00	2.657715e+00	3.073406e-05	0
1.165179e+00	2.657806e+00	3.487527e-05	0
1.256542e+00	2.657932e+00	3.961015e-05	0
1.346158e+00	2.658062e+00	4.620874e-05	0
1.437046e+00	2.658115e+00	5.128217e-05	0
1.526356e+00	2.658268e+00	5.242753e-05	0
1.615299e+00	2.658226e+00	5.459094e-05	0
1.705532e+00	2.658386e+00	6.170869e-05	0
1.797989e+00	2.658497e+00	6.386495e-05	0
1.886184e+00	2.658581e+00	7.034504e-05	0
1.975658e+00	2.658649e+00	7.188773e-05	0
2.065029e+00	2.658833e+00	7.823825e-05	0
2.160345e+00	2.658875e+00	7.894969e-05	0
2.246049e+00	2.658901e+00	8.261585e-05	0
2.335651e+00	2.659023e+00	8.599961e-05	0
2.427557e+00	2.659168e+00	9.136248e-05	0
2.519899e+00	2.659203e+00	9.334922e-05	0
2.606616e+00	2.659309e+00	9.812701e-05	0
2.695821e+00	2.659397e+00	1.003835e-04	0
2.786592e+00	2.659473e+00	1.042072e-04	0
2.879928e+00	2.659595e+00	1.077930e-04	0
2.966531e+00	2.659672e+00	1.110293e-04	0
3.056772e+00	2.659672e+00	1.134608e-04	0
3.143976e+00	2.659901e+00	1.200566e-04	0
3.239539e+00	2.659969e+00	1.248670e-04	0
3.325539e+00	2.660053e+00	1.259668e-04	0
3.415657e+00	2.660095e+00	1.291102e-04	0
3.506386e+00	2.660179e+00	1.314477e-04	0
3.599422e+00	2.660378e+00	1.396151e-04	0
3.686217e+00	2.660328e+00	1.385074e-04	0
3.773288e+00	2.660500e+00	1.428360e-04	0
3.865218e+00	2.660591e+00	1.471916e-04	0
3.960989e+00	2.660694e+00	1.510857e-04	0
4.045548e+00	2.660721e+00	1.523908e-04	0
4.135664e+00	2.660789e+00	1.575161e-04	0
4.225700e+00	2.660942e+00	1.587396e-04	0
4.319274e+00	2.661026e+00	1.645299e-04	0
4.406886e+00	2.661102e+00	1.662713e-04	0
4.495669e+00	2.661221e+00	1.705229e-04	0
4.586120e+00	2.661270e+00	1.742563e-04	0
4.677940e+00	2.661366e+00	1.772631e-04	0
4.767942e+00	2.661499e+00	1.812713e-04	0
4.856428e+00	2.661537e+00	1.840632e-04	0
4.946408e+00	2.661602e+00	1.856776e-04	0
5.040901e+00	2.661755e+00	1.912884e-04	0
5.126022e+00	2.661789e+00	1.909335e-04	0
5.214340e+00	2.661896e+00	1.993259e-04	0
5.306667e+00	2.662113e+00	2.054939e-04	0
5.398088e+00	2.662125e+00	2.049137e-04	0
5.485693e+00	2.662189e+00	2.096330e-04	0
5.576393e+00	2.662304e+00	2.128505e-04	0
5.665794e+00	2.662350e+00	2.155657e-04	0
5.759858e+00	2.662460e+00	2.175295e-04	0
5.845136e+00	2.662582e+00	2.221545e-04	0
6.107444e+00	2.662819e+00	2.300410e-04	0
6.204702e+00	2.662895e+00	2.345223e-04	0
6.295711e+00	2.663013e+00	2.388738e-04	0
6.385700e+00	2.663158e+00	2.431781e-04	0
6.477234e+00	2.663204e+00	2.443220e-04	0
6.566223e+00	2.663353e+00	2.500297e-04	0
6.657103e+00	2.663387e+00	2.502420e-04	0
6.743874e+00	2.663475e+00	2.513859e-04	0
6.838428e+00	2.663555e+00	2.571879e-04	0
6.926525e+00	2.663647e+00	2.594993e-04	0
7.015823e+00	2.663719e+00	2.632376e-04	0
7.107121e+00	2.663887e+00	2.690986e-04	0
7.198043e+00	2.663906e+00	2.699594e-04	0
7.286590e+00	2.664055e+00	2.761624e-04	0
7.376503e+00	2.664104e+00	2.786035e-04	0
7.466765e+00	2.664215e+00	2.788276e-04	0
7.556914e+00	2.664284e+00	2.848065e-04	0
7.646085e+00	2.664364e+00	2.867523e-04	0
7.736089e+00	2.664471e+00	2.903727e-04	0
7.826226e+00	2.664581e+00	2.917053e-04	0
7.918874e+00	2.664661e+00	2.956794e-04	0
8.006585e+00	2.664719e+00	2.988517e-04	0
8.095841e+00	2.664890e+00	3.039815e-04	0
8.185906e+00	2.664955e+00	3.040758e-04	0
8.279254e+00	2.664974e+00	3.087576e-04	0
8.366709e+00	2.665081e+00	3.106798e-04	0
8.456853e+00	2.665161e+00	3.160455e-04	0
8.545601e+00	2.665287e+00	3.166823e-04	0
8.640579e+00	2.665417e+00	3.200196e-04	0
8.725712e+00	2.665447e+00	3.227673e-04	0
8.815229e+00	2.665627e+00	3.284161e-04	0
8.907668e+00	2.665665e+00	3.295600e-04	0
9.002073e+00	2.665726e+00	3.313053e-04	0
9.086444e+00	2.665844e+00	3.375908e-04	0
9.175690e+00	2.665901e+00	3.395012e-04	0
9.266076e+00	2.665958e+00	3.424612e-04	0
9.361684e+00	2.666115e+00	3.473316e-04	0
9.446097e+00	2.666168e+00	3.484166e-04	0
9.536513e+00	2.666256e+00	3.523671e-04	0
9.626108e+00	2.666370e+00	3.577446e-04	0
9.720143e+00	2.666462e+00	3.588767e-04	0
9.807174e+00	2.666538e+00	3.620726e-04	0
9.896315e+00	2.666599e+00	3.623910e-04	0
9.985180e+00	2.666706e+00	3.655042e-04	0
1.008040e+01	2.666763e+00	3.692779e-04	0
1.016625e+01	2.667027e+00	3.763889e-04	0
1.025633e+01	2.666935e+00	3.764479e-04	0
1.034343e+01	2.667084e+00	3.777687e-04	0
1.044064e+01	2.667160e+00	3.848325e-04	0
1.052604e+01	2.667267e+00	3.862948e-04	0
1.061519e+01	2.667358e+00	3.880991e-04	0
1.070672e+01	2.667393e+00	3.902336e-04	0
1.080085e+01	2.667511e+00	3.933941e-04	0
1.088702e+01	2.667568e+00	3.955286e-04	0
1.097601e+01	2.667755e+00	4.010240e-04	0
